State/UT,District,ds,Category,y
Andhra Pradesh,Guntur,2018-07-01,SS,65.71
Andhra Pradesh,Guntur,2019-07-01,DL,20.0
Andhra Pradesh,Guntur,2019-07-01,ECT,84.44
Andhra Pradesh,Guntur,2019-07-01,GP,70.24
Andhra Pradesh,Guntur,2019-07-01,IF,50.98
Andhra Pradesh,Guntur,2019-07-01,Outcome,65.17
Andhra Pradesh,Guntur,2019-07-01,Overall,365.12
Andhra Pradesh,Guntur,2019-07-01,SS,74.29
Andhra Pradesh,Guntur,2020-07-01,DL,16.0
Andhra Pradesh,Guntur,2020-07-01,ECT,92.22
Andhra Pradesh,Guntur,2020-07-01,GP,91.67
Andhra Pradesh,Guntur,2020-07-01,IF,78.43
Andhra Pradesh,Guntur,2020-07-01,Outcome,63.1
Andhra Pradesh,Guntur,2020-07-01,Overall,438.56
Andhra Pradesh,Guntur,2020-07-01,SS,97.14
Andhra Pradesh,Guntur,2021-07-01,DL,32.0
Andhra Pradesh,Guntur,2021-07-01,ECT,95.56
Andhra Pradesh,Guntur,2021-07-01,GP,88.1
Andhra Pradesh,Guntur,2021-07-01,IF,70.59
Andhra Pradesh,Guntur,2021-07-01,Outcome,50.34
Andhra Pradesh,Guntur,2021-07-01,Overall,436.59
Andhra Pradesh,Guntur,2021-07-01,SS,100.0
Andhra Pradesh,Kadapa,2018-07-01,DL,8.0
Andhra Pradesh,Kadapa,2018-07-01,ECT,81.11
Andhra Pradesh,Kadapa,2018-07-01,GP,75.0
Andhra Pradesh,Kadapa,2018-07-01,IF,45.1
Andhra Pradesh,Kadapa,2018-07-01,Outcome,58.62
Andhra Pradesh,Kadapa,2018-07-01,Overall,316.4
Andhra Pradesh,Kadapa,2018-07-01,SS,48.57
Andhra Pradesh,Kadapa,2019-07-01,DL,16.0
Andhra Pradesh,Kadapa,2019-07-01,ECT,83.33
Andhra Pradesh,Kadapa,2019-07-01,GP,69.05
Andhra Pradesh,Kadapa,2019-07-01,IF,64.71
Andhra Pradesh,Kadapa,2019-07-01,Outcome,65.17
Andhra Pradesh,Kadapa,2019-07-01,Overall,349.69
Andhra Pradesh,Kadapa,2019-07-01,SS,51.43
Andhra Pradesh,Kadapa,2020-07-01,DL,14.0
Andhra Pradesh,Kadapa,2020-07-01,ECT,86.67
Andhra Pradesh,Kadapa,2020-07-01,GP,84.52
Andhra Pradesh,Kadapa,2020-07-01,IF,74.51
Andhra Pradesh,Kadapa,2020-07-01,Outcome,65.17
Andhra Pradesh,Kadapa,2020-07-01,Overall,419.16
Andhra Pradesh,Kadapa,2020-07-01,SS,94.29
Andhra Pradesh,Kadapa,2021-07-01,DL,28.0
Andhra Pradesh,Kadapa,2021-07-01,ECT,91.11
Andhra Pradesh,Kadapa,2021-07-01,GP,86.9
Andhra Pradesh,Kadapa,2021-07-01,IF,70.59
Andhra Pradesh,Kadapa,2021-07-01,Outcome,47.93
Andhra Pradesh,Kadapa,2021-07-01,Overall,424.53
Andhra Pradesh,Kadapa,2021-07-01,SS,100.0
Andhra Pradesh,Krishna,2018-07-01,DL,12.0
Andhra Pradesh,Krishna,2018-07-01,ECT,78.89
Andhra Pradesh,Krishna,2018-07-01,GP,72.62
Andhra Pradesh,Krishna,2018-07-01,IF,54.9
Andhra Pradesh,Krishna,2018-07-01,Outcome,66.21
Andhra Pradesh,Krishna,2018-07-01,Overall,330.33000000000004
Andhra Pradesh,Krishna,2018-07-01,SS,45.71
Andhra Pradesh,Krishna,2019-07-01,DL,20.0
Andhra Pradesh,Krishna,2019-07-01,ECT,83.33
Andhra Pradesh,Krishna,2019-07-01,GP,72.62
Andhra Pradesh,Krishna,2019-07-01,IF,68.63
Andhra Pradesh,Krishna,2019-07-01,Outcome,68.62
Andhra Pradesh,Krishna,2019-07-01,Overall,361.77
Andhra Pradesh,Krishna,2019-07-01,SS,48.57
Andhra Pradesh,Krishna,2020-07-01,DL,16.0
Andhra Pradesh,Krishna,2020-07-01,ECT,92.22
Andhra Pradesh,Krishna,2020-07-01,GP,92.86
Andhra Pradesh,Krishna,2020-07-01,IF,74.51
Andhra Pradesh,Krishna,2020-07-01,Outcome,66.55
Andhra Pradesh,Krishna,2020-07-01,Overall,425.0
Andhra Pradesh,Krishna,2020-07-01,SS,82.86
Andhra Pradesh,Krishna,2021-07-01,DL,28.0
Andhra Pradesh,Krishna,2021-07-01,ECT,93.33
Andhra Pradesh,Krishna,2021-07-01,GP,85.71
Andhra Pradesh,Krishna,2021-07-01,IF,82.35
Andhra Pradesh,Krishna,2021-07-01,Outcome,46.21
Andhra Pradesh,Krishna,2021-07-01,Overall,435.6
Andhra Pradesh,Krishna,2021-07-01,SS,100.0
Andhra Pradesh,Kurnool,2018-07-01,DL,10.0
Andhra Pradesh,Kurnool,2018-07-01,ECT,81.11
Andhra Pradesh,Kurnool,2018-07-01,GP,77.38
Andhra Pradesh,Kurnool,2018-07-01,IF,47.06
Andhra Pradesh,Kurnool,2018-07-01,Outcome,58.62
Andhra Pradesh,Kurnool,2018-07-01,Overall,351.31
Andhra Pradesh,Kurnool,2018-07-01,SS,77.14
Andhra Pradesh,Kurnool,2019-07-01,DL,18.0
Andhra Pradesh,Kurnool,2019-07-01,ECT,85.56
Andhra Pradesh,Kurnool,2019-07-01,GP,77.38
Andhra Pradesh,Kurnool,2019-07-01,IF,62.75
Andhra Pradesh,Kurnool,2019-07-01,Outcome,58.28
Andhra Pradesh,Kurnool,2019-07-01,Overall,367.68
Andhra Pradesh,Kurnool,2019-07-01,SS,65.71
Andhra Pradesh,Kurnool,2020-07-01,DL,16.0
Andhra Pradesh,Kurnool,2020-07-01,ECT,92.22
Andhra Pradesh,Kurnool,2020-07-01,GP,30.95
Andhra Pradesh,Kurnool,2020-07-01,IF,47.06
Andhra Pradesh,Kurnool,2020-07-01,Outcome,48.97
Andhra Pradesh,Kurnool,2020-07-01,Overall,329.49
Andhra Pradesh,Kurnool,2020-07-01,SS,94.29
Andhra Pradesh,Kurnool,2021-07-01,DL,26.0
Andhra Pradesh,Kurnool,2021-07-01,ECT,95.56
Andhra Pradesh,Kurnool,2021-07-01,GP,84.52
Andhra Pradesh,Kurnool,2021-07-01,IF,47.06
Andhra Pradesh,Kurnool,2021-07-01,Outcome,38.97
Andhra Pradesh,Kurnool,2021-07-01,Overall,392.11
Andhra Pradesh,Kurnool,2021-07-01,SS,100.0
Andhra Pradesh,Nellore,2018-07-01,DL,10.0
Andhra Pradesh,Nellore,2018-07-01,ECT,84.44
Andhra Pradesh,Nellore,2018-07-01,GP,78.57
Andhra Pradesh,Nellore,2018-07-01,IF,70.59
Andhra Pradesh,Nellore,2018-07-01,Outcome,54.83
Andhra Pradesh,Nellore,2018-07-01,Overall,372.72
Andhra Pradesh,Nellore,2018-07-01,SS,74.29
Andhra Pradesh,Nellore,2019-07-01,DL,16.0
Andhra Pradesh,Nellore,2019-07-01,ECT,78.89
Andhra Pradesh,Nellore,2019-07-01,GP,77.38
Andhra Pradesh,Nellore,2019-07-01,IF,70.59
Andhra Pradesh,Nellore,2019-07-01,Outcome,58.97
Andhra Pradesh,Nellore,2019-07-01,Overall,384.69
Andhra Pradesh,Nellore,2019-07-01,SS,82.86
Andhra Pradesh,Nellore,2020-07-01,DL,28.0
Andhra Pradesh,Nellore,2020-07-01,ECT,82.22
Andhra Pradesh,Nellore,2020-07-01,GP,89.29
Andhra Pradesh,Nellore,2020-07-01,IF,66.67
Andhra Pradesh,Nellore,2020-07-01,Outcome,62.07
Andhra Pradesh,Nellore,2020-07-01,Overall,419.68
Andhra Pradesh,Nellore,2020-07-01,SS,91.43
Andhra Pradesh,Nellore,2021-07-01,DL,32.0
Andhra Pradesh,Nellore,2021-07-01,ECT,91.11
Andhra Pradesh,Nellore,2021-07-01,GP,84.52
Andhra Pradesh,Nellore,2021-07-01,IF,52.94
Andhra Pradesh,Nellore,2021-07-01,Outcome,48.62
Andhra Pradesh,Nellore,2021-07-01,Overall,409.19
Andhra Pradesh,Nellore,2021-07-01,SS,100.0
Andhra Pradesh,Prakasam,2018-07-01,DL,10.0
Andhra Pradesh,Prakasam,2018-07-01,ECT,76.67
Andhra Pradesh,Prakasam,2018-07-01,GP,73.81
Andhra Pradesh,Prakasam,2018-07-01,IF,45.1
Andhra Pradesh,Prakasam,2018-07-01,Outcome,67.93
Andhra Pradesh,Prakasam,2018-07-01,Overall,324.94000000000005
Andhra Pradesh,Prakasam,2018-07-01,SS,51.43
Andhra Pradesh,Prakasam,2019-07-01,DL,16.0
Andhra Pradesh,Prakasam,2019-07-01,ECT,85.56
Andhra Pradesh,Prakasam,2019-07-01,GP,63.1
Andhra Pradesh,Prakasam,2019-07-01,IF,49.02
Andhra Pradesh,Prakasam,2019-07-01,Outcome,67.93
Andhra Pradesh,Prakasam,2019-07-01,Overall,347.32000000000005
Andhra Pradesh,Prakasam,2019-07-01,SS,65.71
Andhra Pradesh,Prakasam,2020-07-01,DL,12.0
Andhra Pradesh,Prakasam,2020-07-01,ECT,86.67
Andhra Pradesh,Prakasam,2020-07-01,GP,85.71
Andhra Pradesh,Prakasam,2020-07-01,IF,70.59
